date,name,favorite,breakfast,prepare,body,happy,,,,
9-27-2014_20:25:27,carina,pokemon,cornflacks,with milk,my heart,went to china,,,,
9-27-2014_20:27:18,eddie murphy,swimming,coffee and toast,in the toaster/coffee maker,my legs,walked around,,,,
9-27-2014_20:29:12,Jesse,climbing rocks,nothing,quickly,my brain,had ice cream,,,,
9-27-2014_20:31:29,amanda,swimming,cereal,with milk,my pinkie freckle,wrote,,,,
9-27-2014_20:33:39,ibrahim,transferung from ACA,bananas,Maria does,Hair i guess,I saw nader,,,,
9-27-2014_20:36:7,zhengtingting,play,bread or noodles,i cook,i don't know,shopping,,,,
9-27-2014_20:38:42,GENA,BIKING,EGGG ON CROSSANT,WHILE ASLEEP,FEET,KISS KIDS,,,,
9-27-2014_20:41:19,NATALIA,PLAYED HOPSCOTCH,ROLL WITH BUTTER,THE BODEGA DOES IT FOR ME!,LIPS,DANCED THE NIGHT AWAY,,,,
9-27-2014_20:43:32,XYLINA,TV,OATMEAL,I DONT,DA BOOTY,I CRIED,,,,
9-27-2014_20:45:49,ASHLEY GRACE,LOLLIPOPS,VEGEMITE,YOU DONT,MY FACE,SHOP,,,,
9-27-2014_20:47:39,KATHE,CLIMBING TREES,EGGS,SCRAMBLED,BOOBS,DANCED,,,,
9-27-2014_20:49:32,SAIRA,SWIM,EGGS,SUNNY SIDE UP ,ASS,BEACH,,,,
9-27-2014_20:51:51,LIN,READING,YOGHURT,FOZEN,EYES,PLAYING POOL,,,,
9-27-2014_16:29:6,Mike,Playing Basketball,Eggs,Over easy with bread,My smile,I skated,,,,
9-27-2014_16:32:28,Killian,I am one,eggs,My Dad does,all ,i don't remember,,,,
9-27-2014_16:36:29,yutong liu,arts,milk,hot,head,drawing,,,,
9-27-2014_16:39:16,andy,lego,egg,mymom,all,i dont know,,,,
9-27-2014_16:41:37,jedisha,playing with my sister ,eggs and cheese,dunkin dinuts,my brain,smiled,,,,
9-27-2014_16:43:28,alma j,watch tv,coffee,in a pot,my feet,kissed my daughter,,,,
9-27-2014_16:45:50,tiya,play every day,noodles,cook ,face,eating,,,,
9-27-2014_16:48:17,andrew,im still a child,ceral,put milk in the bowl with the ceral,my nack,laugh,,,,
9-27-2014_16:50:11,sis,play with a baby doll,frozen waffles,i put it in the toaster,my hair,kiss a cute boy,,,,
9-27-2014_16:52:8,Caroline,Playing outside,Fruit,Put it on the plate,My brain,I laughed,,,,
9-27-2014_16:53:59,stephanie,climbing trees,fruit,slice it,my voice,laughed,,,,
9-27-2014_16:56:36,Soo,pranking my teacher,coffee and adderall,discretely,lips,shawshank,,,,
9-27-2014_16:58:15,Faith,shopping with my mom,nothing,kill it,eyes,drank,,,,
9-27-2014_17:0:8,Sasha ,read,coffee and pastry,buying it,my booty,watch tv,,,,
9-27-2014_17:3:46,elijah,playing with legos,i cant remember,i put things in the toaster oven,my  tounge,i dont remember that either,,,,
9-27-2014_17:5:25,OWEN,ZFXGRFTVHF , B B BBBB,B NNS.,.,.  v,,,,
9-27-2014_17:7:23,ana,fighting with my sister,tea and s,easily,toes,met my family,,,,
9-27-2014_17:9:23,linda,barbie,coffee and bagel,buy them,eyes,had awesome dessert,,,,
9-27-2014_17:12:3,QUEENIE,SINGING,TEA AND BAGEL,TOAST IT,EYES,HANGING OUT WITH FRIENDS,,,,
9-27-2014_17:14:21,Firm,My game console,a salad,i guess,just throw stuffs in my fridge together,my fingers,smile,maybe?,,
9-27-2014_17:16:21,Fame,Blanket,nothing,I didn't,Collarbone,Sing,,,,
9-27-2014_17:18:27,jay,color pencils,rice and soup,microwave?,my hands,cried,,,,
9-27-2014_17:20:25,brock,monkey around,rays of sunshine,naked,knee caps,kiss fernanda,,,,
9-27-2014_17:22:14,fernanda,ply with my mom,cereal,mix cereal and milk,eyes,dance,,,,
9-27-2014_14:28:23,diana,being outside,nothing.,i don't,eyes,pastel drawings,,,,
9-27-2014_14:30:45,dana ter,traveling,fruits,buy it from a grocery store,hair,i wrote an article,,,,
9-27-2014_14:32:35,aditi,reading,chocolate milk,with syrup,my dimple,i danced,,,,
9-27-2014_14:34:14,patricia,rollerblading,coffee,with creamer,ears,drank,,,,
9-27-2014_14:36:17,Angelo,my bed,bacon,fry it,feet,cry,,,,
9-27-2014_14:38:17,lina,dance,cereal,in a bowl,eyes,smiled,,,,
9-27-2014_14:40:29,felicia,scouts,yogurt,i donr,hair,laughed,,,,
9-27-2014_14:42:49,nicole,playing with my frienddsd,eggs,fried,eyes,slept,,,,
9-27-2014_14:44:37,jacqueline,eating,yogurt,i dont,eyes,laugh,,,,
9-27-2014_14:46:35,viola,goimg  to the beach,granola,with milk,mouth,felt emotioned,,,,
9-27-2014_14:48:15,emily,going to the park,eggs,scramble it,eyes,eat,,,,
9-27-2014_14:50:8,Terri,Lollies,Coffee,Skim Latte,Smile,Laze Around,,,,
9-27-2014_14:51:58,arlyn,playing,smoothies,with fruits,eyes,dance,,,,
9-27-2014_14:54:5,suzanne,legos,tea,with cream and honey,me eyes,i dont know,,,,
9-27-2014_14:55:55,karianne,fireflies,coffee,black,my hair,smile :),,,,
9-27-2014_14:57:40,sarah,dolls,coffee and bagel,milk and sugar,my eyes,laugh out loud,,,,
9-27-2014_14:59:30,maya,the beach,eggs,in the pan,my feet,smoked weed,,,,
9-27-2014_15:1:52,tim,smile,danger,open my eyes,my lover,dream a dream,,,,
9-27-2014_15:7:44,emily,disney,fruit,raw,hands,sleep,,,,
9-27-2014_15:11:3,basedgid,pokemans,green eggs  and ham,in my sleep,my manly mustache,owning scrubs on destiny,,,,
9-27-2014_15:13:14,emily,watching tv,dear meat,hunter grill,my horns,hunt for deers,,,,
9-27-2014_15:15:4,kathy,games,dead meat,debugging,somewhere up there,sleep,,,,
9-27-2014_15:18:20,sophie,reading,cereal,in a bowl with milk,hands,have ice cream,,,,
9-27-2014_15:20:17,malika,the beach,a fish,on a plate,teeth,laughed,,,,
9-27-2014_15:22:19,steven,my brother,np,a long train ride,my eyes,dance on the train,,,,
9-27-2014_15:26:29,samantha ,snow,ice ceam,with ice and cream,my head,Bought a slushie,,,,
9-27-2014_15:28:27,carol,playing at the park,yogurt,with blueberries,my hair,watercolor,,,,
9-27-2014_15:30:21,calvin,going to the park,ceral,with milk,my nose,sing,,,,
9-27-2014_15:32:10,erin,swinging,oatmeal,at whole foods,my hair,have sex,,,,
9-27-2014_15:35:4,katie,spining,pancakes,i cook them,my eyes,i dranke rooytbeer,,,,
9-27-2014_15:37:3,Gwenevere,pretend,an english muffin,toaster oven,eyes,laughed,,,,
9-27-2014_15:39:10,nina,swimming,bagel,toasted with cream cheese,boobs,playing tennis,,,,
9-27-2014_15:42:5,Sally,a good book,nutella,slather it onto a thin slice of toasted bread,my beautiful locks,i screamed,,,,
9-27-2014_15:45:3,Shelby,nintendo 64,cereal and milk ,get a bowl,pour my cereal,pour milk,use spoon,insert food into mouth,my very curly hair,screamed internally with delight
9-27-2014_15:47:31,Lindsay,Acting in plays,Eggs,Scrambled in a tortilla,My legs,Smiled and cheered and did a little fist pump,,,,
9-27-2014_15:49:59,yasmeen,sleeping with my mom,yogurt,with cereal and fruit,sometimes granola when im feelin crazy,fingers! or wrists,depends,thanks for asking,screamed,
9-27-2014_15:52:20,Carolina,playing hide n seek,bagel,toast it and put cream cheese on it,my chubby cheeks,smiled,,,,
9-27-2014_15:54:38,mor,nature,almond butter',on a rice cake,arms,danced,,,,
9-27-2014_15:57:1,Mike,Climbing trees,Cereal,In abowl with milk,calves,I was with my buddy,,,,
9-27-2014_16:0:36,Sally The Awesome,Watching a good youtube video :0,PIE,I put it on a plate,My golden locks,i accidentaly knocked my brother down,,,,
9-27-2014_16:2:36,the coffe clutch,going to dumbo,NA,LEAVING THE HOUSE,my nose,a while a ],,,,
9-27-2014_16:4:29,jade,read,cereal,put in a bowl with milk,my face,read,,,,
9-27-2014_16:6:52,jared,legos,omelette,with peppers and onions,hair,listened to music,,,,
9-27-2014_16:10:14,Sally,roll my eyes  when a justin bieber song came on,apple,on a plate,my all-knowing eyes,i accidently smashed a plate,,,,
